system:index,date_utc,era5_hour_utc,era5_t2m_c,hour_utc,minute_utc,scene_id,sensor,year_group,.geo
00000000000000000000,2000-06-03,2000-06-03 10:00,33.19619730631507,10,16,LE07_137043_20000603,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2000-06-03,2000-06-03 10:00,33.19619730631507,10,16,LE07_137044_20000603,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,2001-04-19,2001-04-19 10:00,31.93140157063806,10,14,LE07_137044_20010419,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,2001-07-08,2001-07-08 10:00,30.286292724609382,10,13,LE07_137043_20010708,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,2001-07-08,2001-07-08 10:00,30.286292724609382,10,14,LE07_137044_20010708,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,2005-04-06,2005-04-06 10:00,31.058062133789065,10,11,LT05_137043_20050406,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,2005-06-09,2005-06-09 10:00,34.2527406819662,10,11,LT05_137043_20050609,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,2006-04-25,2006-04-25 10:00,32.30167317708333,10,16,LT05_137043_20060425,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2006-04-25,2006-04-25 10:00,32.30167317708333,10,16,LT05_137044_20060425,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2010-04-20,2010-04-20 10:00,37.61167317708339,10,15,LT05_137043_20100420,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,2011-04-07,2011-04-07 10:00,32.95752197265625,10,14,LT05_137043_20110407,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2011-04-07,2011-04-07 10:00,32.95752197265625,10,14,LT05_137044_20110407,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,2011-06-10,2011-06-10 10:00,30.51625386555986,10,13,LT05_137043_20110610,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,2011-07-28,2011-07-28 10:00,32.00945536295575,10,13,LT05_137043_20110728,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,2015-04-18,2015-04-18 10:00,27.769031982421893,10,23,LC08_137043_20150418,LS8,2015-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,2015-04-18,2015-04-18 10:00,27.769031982421893,10,24,LC08_137044_20150418,LS8,2015-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,2015-05-04,2015-05-04 10:00,32.3243963623047,10,23,LC08_137043_20150504,LS8,2015-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,2015-05-04,2015-05-04 10:00,32.3243963623047,10,23,LC08_137044_20150504,LS8,2015-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
