system:index,date_utc,era5_t2m_mean_C,era5_target_datetime_utc,hour_utc,minute_utc,scene_id,sensor,year_group,.geo
00000000000000000000,2000-06-03,33.14974543774048,2000-06-03 10:00,10,16,LE07_137043_20000603,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2000-06-03,33.14974543774048,2000-06-03 10:00,10,16,LE07_137044_20000603,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,2001-04-19,31.958273777016927,2001-04-19 10:00,10,14,LE07_137044_20010419,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,2001-07-08,30.226261906799493,2001-07-08 10:00,10,13,LE07_137043_20010708,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,2001-07-08,30.226261906799493,2001-07-08 10:00,10,14,LE07_137044_20010708,LS7,2000-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,2005-04-06,31.064463866040853,2005-04-06 10:00,10,11,LT05_137043_20050406,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,2005-06-09,34.29522556126119,2005-06-09 10:00,10,11,LT05_137043_20050609,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,2006-04-25,32.31404430284732,2006-04-25 10:00,10,16,LT05_137043_20060425,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2006-04-25,32.31404430284732,2006-04-25 10:00,10,16,LT05_137044_20060425,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2010-04-20,37.70097380599293,2010-04-20 10:00,10,15,LT05_137043_20100420,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,2011-04-07,32.9974932461069,2011-04-07 10:00,10,14,LT05_137043_20110407,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2011-04-07,32.9974932461069,2011-04-07 10:00,10,14,LT05_137044_20110407,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,2011-06-10,30.5182758450984,2011-06-10 10:00,10,13,LT05_137043_20110610,LS5,2010-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
