system:index,date,mean_MNDWI,.geo
1_LC08_137043_20240426,2024-04-26,-0.15330975129356478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20240512,2024-05-12,-0.12094570464094319,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250413,2025-04-13,-0.15183572030260328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250429,2025-04-29,-0.1465151169196341,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250531,2025-05-31,-0.04847448818827574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250718,2025-07-18,-0.09832955879838831,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240426,2024-04-26,-0.1533289883424255,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240512,2024-05-12,-0.11906635980891182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250413,2025-04-13,-0.15623885030157217,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250429,2025-04-29,-0.14915957182251502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250718,2025-07-18,-0.09824258734697888,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240402,2024-04-02,-0.14179376722268885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240418,2024-04-18,-0.14602054896147115,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240504,2024-05-04,-0.1522468305100683,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240605,2024-06-05,-0.11473757180604324,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240707,2024-07-07,-0.11234329583204011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250405,2025-04-05,-0.14660098160279902,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250507,2025-05-07,-0.14019222228902192,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250608,2025-06-08,-0.10051001517383044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240402,2024-04-02,-0.14160928355214794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240418,2024-04-18,-0.1465580123099976,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240504,2024-05-04,-0.15357951915062334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240707,2024-07-07,-0.11077863278102056,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250405,2025-04-05,-0.14706086519928585,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250507,2025-05-07,-0.14148790116004725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250608,2025-06-08,-0.10138447099850287,"{""type"":""MultiPoint"",""coordinates"":[]}"
