system:index,date,mean_MNDWI,.geo
LC08_137043_20150418,2015-04-18,-0.15269497189839012,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20150504,2015-05-04,-0.14649417710264354,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20150605,2015-06-05,-0.13028863162344392,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20160506,2016-05-06,-0.12762425502982191,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20160607,2016-06-07,-0.05190398211821223,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20160709,2016-07-09,-0.08747507227694912,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20150418,2015-04-18,-0.15245506424813743,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20150504,2015-05-04,-0.1463136368101274,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20150605,2015-06-05,-0.13171067973138792,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20150621,2015-06-21,-0.12211390458663242,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20160522,2016-05-22,-0.13883363433403734,"{""type"":""MultiPoint"",""coordinates"":[]}"
