Composite Year,system:index,date,pass50,validPct,.geo,,,mean_MNDWI,,,,
2000/2001,LE07_137044_20000603,6/3/00,1,70.12713032,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.082033227,,,,
2000/2001,LE07_137044_20010419,4/19/01,1,69.15837131,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.165832969,,,,
2000/2001,LE07_137043_20010708,7/8/01,1,65.07962228,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.10972779,,,,
2000/2001,LE07_137044_20010708,7/8/01,1,57.87247736,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.099839294,,,,
2000/2001,LE07_137043_20000603,6/3/00,1,53.66288859,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.081877312,,,,
2005/2006,LT05_137043_20060425,4/25/06,1,88.58991223,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.154839546,,,,
2005/2006,LT05_137044_20060425,4/25/06,1,71.52941096,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.154118339,,,,
2005/2006,LT05_137043_20050609,6/9/05,1,63.43980373,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.121082611,,,,
2005/2006,LT05_137043_20050406,4/6/05,1,56.63781278,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.12591596,,,,
2010/2011,LT05_137043_20110407,4/7/11,1,92.02500854,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.139785823,,,,
2010/2011,LT05_137043_20110610,6/10/11,1,76.61067305,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.078220212,,,,
2010/2011,LT05_137044_20110407,4/7/11,1,66.50918925,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.137698149,,,,
2010/2011,LT05_137043_20100420,4/20/10,1,64.32707329,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.100557894,,,,
2010/2011,LT05_137043_20110728,7/28/11,1,55.50197838,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.041675885,,,,
2015/2016,LC08_137043_20150418,4/18/15,1,-0.152694972,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.152694972,,,,
2015/2016,LC08_137043_20150504,5/4/15,1,99.99948364,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146494177,,,,
2015/2016,LC08_137044_20150504,5/4/15,1,98.4666184,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146313637,,,,
2015/2016,LC08_137044_20150418,4/18/15,1,98.34002702,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.152455064,,,,
2015/2016,LC08_137043_20160607,6/7/16,1,72.72721216,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.051903982,,,,
2015/2016,LC08_137043_20150605,6/5/15,1,64.03384899,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.130288632,,,,
2015/2016,LC08_137044_20150605,6/5/15,1,61.66986531,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.13171068,,,,
2015/2016,LC08_137043_20160506,5/6/16,1,58.65028874,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.127624255,,,,
2015/2016,LC08_137043_20160709,7/9/16,1,51.61470956,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.087475072,,,,
2015/2016,LC08_137044_20150621,6/21/15,1,51.18234216,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.122113905,,,,
2015/2016,LC08_137044_20160522,5/22/16,1,51.05298873,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.138833634,,,,
2020/2021,LC08_137043_20210418,4/18/21,1,99.66608817,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.151479399,,,,
2020/2021,LC08_137044_20210418,4/18/21,1,98.04411661,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.152040065,,,,
2020/2021,LC08_137044_20200602,6/2/20,1,77.79146459,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.126846028,,,,
2020/2021,LC08_137043_20200602,6/2/20,1,74.73914442,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.128495836,,,,
2020/2021,LC08_137044_20210402,4/2/21,1,67.64417924,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.125991591,,,,
2020/2021,LC08_137043_20210402,4/2/21,1,63.45743809,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.126686733,,,,
2020/2021,LC08_137043_20200517,5/17/20,1,52.37114343,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.141147467,,,,
2020/2021,LC08_137044_20200517,5/17/20,1,50.15080332,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.141376532,,,,
2024/2025,2_LC09_137043_20250405,4/5/25,1,100,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146600982,,,,
2024/2025,1_LC08_137043_20240426,4/26/24,1,99.99948364,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.153309751,,,,
2024/2025,1_LC08_137043_20250413,4/13/25,1,99.99302908,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.15183572,,,,
2024/2025,2_LC09_137043_20240402,4/2/24,1,99.84503894,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.141793767,,,,
2024/2025,2_LC09_137043_20240418,4/18/24,1,99.77876605,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146020549,,,,
2024/2025,2_LC09_137044_20250405,4/5/25,1,98.88902907,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.147060865,,,,
2024/2025,1_LC08_137044_20240426,4/26/24,1,98.52214887,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.153328988,,,,
2024/2025,2_LC09_137044_20240418,4/18/24,1,98.2109409,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146558012,,,,
2024/2025,2_LC09_137044_20240402,4/2/24,1,98.01681407,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.141609284,,,,
2024/2025,1_LC08_137044_20240512,5/12/24,1,94.17780409,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.11906636,,,,
2024/2025,2_LC09_137043_20250507,5/7/25,1,93.71000799,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.140192222,,,,
2024/2025,1_LC08_137043_20250429,4/29/25,1,91.8237822,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.146515117,,,,
2024/2025,2_LC09_137044_20250507,5/7/25,1,90.75307861,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.141487901,,,,
2024/2025,1_LC08_137043_20240512,5/12/24,1,87.95823917,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.120945705,,,,
2024/2025,1_LC08_137044_20250429,4/29/25,1,84.69272515,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.149159572,,,,
2024/2025,1_LC08_137044_20250413,4/13/25,1,84.23444738,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.15623885,,,,
2024/2025,1_LC08_137043_20250531,5/31/25,1,83.79295855,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.048474488,,,,
2024/2025,2_LC09_137043_20250608,6/8/25,1,79.99362664,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.100510015,,,,
2024/2025,2_LC09_137044_20250608,6/8/25,1,78.39849592,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.101384471,,,,
2024/2025,2_LC09_137044_20240707,7/7/24,1,66.15691306,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.110778633,,,,
2024/2025,2_LC09_137043_20240707,7/7/24,1,62.83067556,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.112343296,,,,
2024/2025,1_LC08_137043_20250718,7/18/25,1,60.10210293,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.098329559,,,,
2024/2025,2_LC09_137043_20240504,5/4/24,1,56.77110677,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.152246831,,,,
2024/2025,1_LC08_137044_20250718,7/18/25,1,55.72775533,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.098242587,,,,
2024/2025,2_LC09_137044_20240504,5/4/24,1,53.34827261,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.153579519,,,,
2024/2025,2_LC09_137043_20240605,6/5/24,1,50.31483519,"{""type"":""MultiPoint"",""coordinates"":[]}",,,-0.114737572,,,,
