group_year,system:index,date_local,hour_local,minute_local,scene_id,sensor,year_month,.geo
2000/2001,LE07_137043_20000603,6/3/00,10,16,LE07_137043_20000603,LS7,2000-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000/2001,LE07_137044_20000603,6/3/00,10,16,LE07_137044_20000603,LS7,2000-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000/2001,LE07_137044_20010419,4/19/01,10,14,LE07_137044_20010419,LS7,2001-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000/2001,LE07_137043_20010708,7/8/01,10,13,LE07_137043_20010708,LS7,2001-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000/2001,LE07_137044_20010708,7/8/01,10,14,LE07_137044_20010708,LS7,2001-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005/2006,LT05_137043_20050406,4/6/05,10,11,LT05_137043_20050406,LS5,2005-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005/2006,LT05_137043_20050609,6/9/05,10,11,LT05_137043_20050609,LS5,2005-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005/2006,LT05_137043_20060425,4/25/06,10,16,LT05_137043_20060425,LS5,2006-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005/2006,LT05_137044_20060425,4/25/06,10,16,LT05_137044_20060425,LS5,2006-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010/2011,LT05_137043_20100420,4/20/10,10,15,LT05_137043_20100420,LS5,2010-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010/2011,LT05_137043_20110407,4/7/11,10,14,LT05_137043_20110407,LS5,2011-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010/2011,LT05_137044_20110407,4/7/11,10,14,LT05_137044_20110407,LS5,2011-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010/2011,LT05_137043_20110610,6/10/11,10,13,LT05_137043_20110610,LS5,2011-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010/2011,LT05_137043_20110728,7/28/11,10,13,LT05_137043_20110728,LS5,2011-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20150418,4/18/15,10,23,LC08_137043_20150418,LS8,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137044_20150418,4/18/15,10,24,LC08_137044_20150418,LS8,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20150504,5/4/15,10,23,LC08_137043_20150504,LS8,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137044_20150504,5/4/15,10,23,LC08_137044_20150504,LS8,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20150605,6/5/15,10,23,LC08_137043_20150605,LS8,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137044_20150605,6/5/15,10,23,LC08_137044_20150605,LS8,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137044_20150621,6/21/15,10,24,LC08_137044_20150621,LS8,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20160506,5/6/16,10,24,LC08_137043_20160506,LS8,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137044_20160522,5/22/16,10,24,LC08_137044_20160522,LS8,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20160607,6/7/16,10,24,LC08_137043_20160607,LS8,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015/2016,LC08_137043_20160709,7/9/16,10,24,LC08_137043_20160709,LS8,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137043_20200517,5/17/20,10,23,LC08_137043_20200517,LS8,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137044_20200517,5/17/20,10,24,LC08_137044_20200517,LS8,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137043_20200602,6/2/20,10,23,LC08_137043_20200602,LS8,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137044_20200602,6/2/20,10,24,LC08_137044_20200602,LS8,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137043_20210402,4/2/21,10,24,LC08_137043_20210402,LS8,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137044_20210402,4/2/21,10,24,LC08_137044_20210402,LS8,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137043_20210418,4/18/21,10,24,LC08_137043_20210418,LS8,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020/2021,LC08_137044_20210418,4/18/21,10,24,LC08_137044_20210418,LS8,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240402,4/2/24,10,24,2_LC09_137043_20240402,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20240402,4/2/24,10,24,2_LC09_137044_20240402,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240418,4/18/24,10,24,2_LC09_137043_20240418,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20240418,4/18/24,10,24,2_LC09_137044_20240418,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20240426,4/26/24,10,23,1_LC08_137043_20240426,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137044_20240426,4/26/24,10,24,1_LC08_137044_20240426,LS89,2024-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240504,5/4/24,10,24,2_LC09_137043_20240504,LS89,2024-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20240504,5/4/24,10,24,2_LC09_137044_20240504,LS89,2024-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20240512,5/12/24,10,23,1_LC08_137043_20240512,LS89,2024-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137044_20240512,5/12/24,10,24,1_LC08_137044_20240512,LS89,2024-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240605,6/5/24,10,23,2_LC09_137043_20240605,LS89,2024-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240707,7/7/24,10,23,2_LC09_137043_20240707,LS89,2024-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20240707,7/7/24,10,24,2_LC09_137044_20240707,LS89,2024-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20250405,4/5/25,10,24,2_LC09_137043_20250405,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20250405,4/5/25,10,24,2_LC09_137044_20250405,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
