"scene_id","sensor","date_utc","hour_utc","minute_utc","year_group"
"LE07_137043_20000603","LS7",2000-06-03,10,16,"2000-01"
"LE07_137044_20000603","LS7",2000-06-03,10,16,"2000-01"
"LE07_137044_20010419","LS7",2001-04-19,10,14,"2000-01"
"LE07_137043_20010708","LS7",2001-07-08,10,13,"2000-01"
"LE07_137044_20010708","LS7",2001-07-08,10,14,"2000-01"
"LT05_137043_20050406","LS5",2005-04-06,10,11,"2005-06"
"LT05_137043_20050609","LS5",2005-06-09,10,11,"2005-06"
"LT05_137043_20060425","LS5",2006-04-25,10,16,"2005-06"
"LT05_137044_20060425","LS5",2006-04-25,10,16,"2005-06"
"LT05_137043_20100420","LS5",2010-04-20,10,15,"2010-11"
"LT05_137043_20110407","LS5",2011-04-07,10,14,"2010-11"
"LT05_137044_20110407","LS5",2011-04-07,10,14,"2010-11"
"LT05_137043_20110610","LS5",2011-06-10,10,13,"2010-11"
"LT05_137043_20110728","LS5",2011-07-28,10,13,"2010-11"
"LC08_137043_20150418","LS8",2015-04-18,10,23,"2015-16"
"LC08_137044_20150418","LS8",2015-04-18,10,24,"2015-16"
"LC08_137043_20150504","LS8",2015-05-04,10,23,"2015-16"
"LC08_137044_20150504","LS8",2015-05-04,10,23,"2015-16"
"LC08_137043_20150605","LS8",2015-06-05,10,23,"2015-16"
"LC08_137044_20150605","LS8",2015-06-05,10,23,"2015-16"
"LC08_137044_20150621","LS8",2015-06-21,10,24,"2015-16"
"LC08_137043_20160506","LS8",2016-05-06,10,24,"2015-16"
"LC08_137044_20160522","LS8",2016-05-22,10,24,"2015-16"
"LC08_137043_20160607","LS8",2016-06-07,10,24,"2015-16"
"LC08_137043_20160709","LS8",2016-07-09,10,24,"2015-16"
"LC08_137043_20200517","LS8",2020-05-17,10,23,"2020-21"
"LC08_137044_20200517","LS8",2020-05-17,10,24,"2020-21"
"LC08_137043_20200602","LS8",2020-06-02,10,23,"2020-21"
"LC08_137044_20200602","LS8",2020-06-02,10,24,"2020-21"
"LC08_137043_20210402","LS8",2021-04-02,10,24,"2020-21"
"LC08_137044_20210402","LS8",2021-04-02,10,24,"2020-21"
"LC08_137043_20210418","LS8",2021-04-18,10,24,"2020-21"
"LC08_137044_20210418","LS8",2021-04-18,10,24,"2020-21"
"2_LC09_137043_20240402","LS89",2024-04-02,10,24,"2024-25"
"2_LC09_137044_20240402","LS89",2024-04-02,10,24,"2024-25"
"2_LC09_137043_20240418","LS89",2024-04-18,10,24,"2024-25"
"2_LC09_137044_20240418","LS89",2024-04-18,10,24,"2024-25"
"1_LC08_137043_20240426","LS89",2024-04-26,10,23,"2024-25"
"1_LC08_137044_20240426","LS89",2024-04-26,10,24,"2024-25"
"2_LC09_137043_20240504","LS89",2024-05-04,10,24,"2024-25"
"2_LC09_137044_20240504","LS89",2024-05-04,10,24,"2024-25"
"1_LC08_137043_20240512","LS89",2024-05-12,10,23,"2024-25"
"1_LC08_137044_20240512","LS89",2024-05-12,10,24,"2024-25"
"2_LC09_137043_20240605","LS89",2024-06-05,10,23,"2024-25"
"2_LC09_137043_20240707","LS89",2024-07-07,10,23,"2024-25"
"2_LC09_137044_20240707","LS89",2024-07-07,10,24,"2024-25"
"2_LC09_137043_20250405","LS89",2025-04-05,10,24,"2024-25"
"2_LC09_137044_20250405","LS89",2025-04-05,10,24,"2024-25"
"1_LC08_137043_20250413","LS89",2025-04-13,10,23,"2024-25"
"1_LC08_137044_20250413","LS89",2025-04-13,10,24,"2024-25"
"1_LC08_137043_20250429","LS89",2025-04-29,10,23,"2024-25"
"1_LC08_137044_20250429","LS89",2025-04-29,10,24,"2024-25"
"2_LC09_137043_20250507","LS89",2025-05-07,10,24,"2024-25"
"2_LC09_137044_20250507","LS89",2025-05-07,10,24,"2024-25"
"1_LC08_137043_20250531","LS89",2025-05-31,10,23,"2024-25"
"2_LC09_137043_20250608","LS89",2025-06-08,10,23,"2024-25"
"2_LC09_137044_20250608","LS89",2025-06-08,10,24,"2024-25"
"1_LC08_137043_20250718","LS89",2025-07-18,10,24,"2024-25"
"1_LC08_137044_20250718","LS89",2025-07-18,10,24,"2024-25"
