system:index,LST_C,NDVI,.geo
0,35.35532132000003,0.20559515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,38.10682742000006,0.27619874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,35.707377380000025,0.21195334,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,35.19467438000004,0.35404646,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,34.43587394000002,0.30952084,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,30.053972300000055,0.19270188,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,36.27476870000001,0.37697664,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.36215736,0.30067238,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.591164700000036,0.23435622,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,31.89970310000001,0.30438238,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,34.14192422000002,0.2986887,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,32.52520076000002,0.33528966,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,32.68413869,0.31725153,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,36.05943344000002,0.24841495,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,34.774257920000025,0.32957757,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,32.972961380000015,0.33449405,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,30.894805219999995,-0.024227833,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,33.236148920000005,0.12420659,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,33.603586070000006,0.06356772,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,30.489769850000016,0.06318412,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,31.66215070999999,-0.0078332815,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,32.333791640000015,0.10768802,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,31.768109330000016,-0.004017679,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,35.79966392,0.08124155,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,34.92806882000002,0.124651134,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,34.49398028000002,0.1253291,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,34.92806882000002,0.18541034,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,37.67957492000005,0.38066906,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,35.35532132000003,0.25885856,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,35.35532132000003,0.304263,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,35.35532132000003,0.34343773,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,37.58899739,0.30379945,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,36.99767993000003,0.2688074,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,36.78063566000003,0.14375614,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,32.303029460000005,0.15251148,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,35.128022990000034,0.34953466,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,34.94515892000001,0.24543512,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,36.39098138000003,0.22742301,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,33.646311319999995,0.29000944,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,32.94561722000003,0.36591837,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,34.299153140000016,0.32421803,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,27.50754740000002,-0.045128517,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,28.054430600000018,-0.05093168,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,32.44316828000001,0.029067134,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,32.94903524000006,-0.013801466,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,36.601189610000006,0.13176145,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,36.38414534000003,0.14789422,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,34.24104679999999,0.2185498,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,37.64881274000004,0.3035144,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,38.31874465999999,0.29533473,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,38.71010795000001,0.34205762,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,34.76400386,0.307064,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,36.77038160000001,0.33991584,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,35.55356648000003,0.2803976,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,34.51107037999998,0.16073869,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,37.73426324000002,0.30892658,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,35.996200070000015,0.1782361,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,35.99790908000003,0.35654998,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,30.616236590000028,0.3018622,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,26.96750024000005,0.31038705,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,28.791013910000004,0.2634079,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,29.93434160000004,0.28807646,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,33.44464814000003,0.30177653,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,33.659983400000016,0.32127026,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,33.724925780000035,0.29239735,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,34.347005420000016,0.35475886,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,35.16220319000004,0.28084347,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,32.11845638,0.3193941,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,34.35555047,0.26730773,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,31.71000299000002,-0.03164,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,34.85970842000003,0.11799201,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,31.95951845000002,0.07192304,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,29.831801000000013,0.043550257,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,33.58820498,0.29045078,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,36.821651900000006,0.31523687,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,36.94811864000002,0.30821896,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,33.96760519999998,0.303783,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,35.00155625000002,0.3378841,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,34.62044702000003,0.21246082,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,34.24446482000002,0.3354612,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,35.74839362,0.24294874,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,34.70418851000002,0.31204495,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,35.55356648,0.26766133,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,34.37093156,0.28230208,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,32.938781180000035,0.30812308,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,32.40898808000003,-0.027176017,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,29.249028590000023,0.0029445498,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,34.78793000000002,0.15705542,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,34.82894623999999,0.15608914,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,29.889907340000036,0.035246287,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,37.94618048000001,0.1723916,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,35.45786192000003,0.25420555,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,35.456152910000014,0.26012966,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,36.821651900000006,0.3388584,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,37.180544000000054,0.28797328,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,38.78017736000004,0.22548985,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,39.87736178,0.21287112,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,38.94082430000003,0.38094217,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,35.47153400000002,0.2911685,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,36.99084389000001,0.31816223,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,36.45592376000002,0.3250187,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,36.98229884,0.16694394,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,32.851621670000014,0.25871247,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,32.851621670000014,0.25871247,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,38.48110061000003,0.3554701,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,33.810376280000014,0.18846516,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,33.810376280000014,0.18441558,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,33.18316960999999,0.23459049,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,35.633889950000025,0.23881182,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,33.875318660000005,0.31687137,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,34.76742188,0.33320358,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,35.413427660000025,0.1422462,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,33.015686630000005,0.12966774,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,35.81675402000002,0.29506063,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,35.34677627000002,0.30051956,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,35.382665480000014,0.15002742,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,35.832135110000024,0.30802697,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,37.771861460000025,0.20618072,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,37.64539472000001,0.22715679,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,33.659983400000016,0.29286608,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,34.00349441000003,0.23231654,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,33.16095247999999,0.30007264,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,33.18316960999999,0.24442036,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,33.224185850000026,0.33390173,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,34.71615158,0.30135864,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,34.99642922000004,0.35154286,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,35.28866993,0.3066685,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,32.44829530999999,0.35349515,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,32.70635582000003,0.18296815,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,28.536371420000023,-0.049464982,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,33.923170940000034,0.08214758,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,35.42026370000002,0.26986885,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,34.899015650000024,0.3348338,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,36.760127539999985,0.16812387,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,35.65268906000006,0.24060151,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,37.65223076000001,0.1841086,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,35.51767727000001,0.32771453,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,36.45934177999999,0.38838562,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,42.181107260000005,0.14310317,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,38.04530306000004,0.33660713,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,31.301549600000044,0.3768573,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,32.135546480000016,0.37945813,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,35.608254800000054,0.313982,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,35.05453555999998,0.32068142,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,36.544792280000024,0.3071838,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,33.90095381000003,0.12709348,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,35.93809373000002,0.23283747,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,33.22589486000004,0.3430043,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,29.21826641000004,0.25712615,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,30.34963103000004,0.24212731,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,32.212451930000014,0.22958173,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,33.982986290000014,0.31014633,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,33.48566438,0.30445713,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,32.446586300000035,0.2774903,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,33.547188740000024,0.32289872,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,34.62557405000001,0.35039747,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,32.02104280999998,0.36578405,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,32.585016110000026,0.3223281,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,29.115725810000015,-0.05762589,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,33.48224635999998,0.018782742,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,34.49398028000002,0.0800553,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,35.99107304000003,0.28534663,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,36.59777159000001,0.38900486,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,36.997679930000004,0.39068064,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,43.08688256000002,0.1171008,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,32.53545482000004,0.28217706,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,31.387000100000023,0.3042248,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,31.40409020000004,0.38495246,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,32.135546480000016,0.39660645,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,35.509132220000026,0.3712089,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,32.60894225000001,0.2367778,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,29.828382980000015,0.28279772,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,33.36945170000001,0.046186313,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,33.36945170000001,0.046186313,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,36.069687500000015,0.23054193,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,34.21370264000004,0.12779996,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,33.91291688000001,0.26834407,"{""type"":""MultiPoint"",""coordinates"":[]}"
