system:index,Class,LST_C,.geo
1_4,Urban,39.188630750000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,Urban,41.309512160000054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,Urban,38.411031200000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,Urban,32.12016539000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,Urban,40.49431439000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_45,Urban,43.102263650000054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_54,Urban,40.05851684000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_57,Urban,45.028317920000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_61,Urban,40.656670340000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_63,Urban,40.241380910000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_76,Urban,38.320453670000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_81,Urban,31.209263060000012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_89,Urban,38.609276360000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_91,Urban,44.23191926000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_93,Urban,44.87450702000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_97,Urban,34.80331109000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_99,Urban,36.93273755000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_100,Urban,35.44589885000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_104,Urban,38.57851418000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_106,Urban,41.16595532000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_120,Urban,45.014645840000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_127,Urban,38.92373420000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_140,Urban,39.25699115000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_145,Urban,36.72936536000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_170,Urban,41.68207634000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_173,Urban,38.272601390000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_177,Urban,39.788493260000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_178,Urban,37.38904322000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_183,Urban,41.56928168000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_186,Urban,36.343129100000056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_191,Urban,34.06330976000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_195,Urban,37.86072998000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_196,Urban,38.906644099999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_197,Urban,42.76558868000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_202,Urban,40.72161272000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_205,Urban,36.69689417000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_206,Urban,45.15478466000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_210,Urban,38.838283700000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_213,Urban,37.460821640000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_224,Urban,39.71329681999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_243,Urban,37.47107570000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_247,Urban,36.94470062000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_252,Urban,36.95153665999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_273,Urban,38.619530420000046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_274,Urban,43.965313700000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_290,Urban,41.51801138000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_291,Urban,38.28798247999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_297,Urban,38.83486568000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_305,Urban,35.744975600000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_318,Urban,40.82415331999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_319,Urban,41.63080604000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_347,Urban,43.87644518000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_353,Urban,38.13075356000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_369,Urban,37.86756602000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_371,Urban,37.28650262000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_372,Urban,42.68013818000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_378,Urban,38.74941518000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_379,Urban,41.33343830000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_382,Urban,36.985716860000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_383,Urban,39.16128659000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_388,Urban,47.675574409999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_399,Urban,41.50092128000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_411,Urban,43.06979246000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_412,Urban,35.23056359000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_417,Urban,43.00143206000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_420,Urban,38.294818520000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_425,Urban,37.58045234000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_430,Urban,39.754313060000015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_434,Urban,39.556067900000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_444,Urban,37.81971374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_447,Urban,47.02102358000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_453,Urban,34.58455781000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_467,Urban,40.65837935000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_483,Urban,40.76262896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_484,Urban,42.17427122000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_492,Urban,34.17097739000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_494,Urban,36.80114378000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_500,Urban,34.47518117000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_511,Urban,44.70702404000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_525,Urban,38.19911395999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_526,Urban,41.42743385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_533,Urban,32.97467039000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_534,Urban,36.05943344000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_539,Urban,40.05509882000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_543,Urban,38.61098537000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_544,Urban,41.78974397000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_547,Urban,39.09463520000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_552,Urban,37.22839628,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_557,Urban,39.73038692,"{""type"":""MultiPoint"",""coordinates"":[]}"
