system:index,LST_C,NDVI,.geo
0,40.93011194000002,0.17450958,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,42.432331730000016,0.17823158,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,37.72742720000002,0.33568904,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,32.195361830000024,0.28182167,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,37.084839439999996,0.22452138,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,36.30211286000002,0.14231712,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,37.28308460000005,0.26015928,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.02377338000002,0.11528659,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,30.843534920000025,0.21091701,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,37.08654845000001,0.1568835,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,37.08654845000001,0.15896642,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,40.05851684000004,0.1528173,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,42.50240114000002,0.15282354,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,39.45865433000003,0.11160085,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,41.183045419999985,0.19350035,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,40.82757134000002,0.26109606,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,42.93990770000005,0.15444487,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,41.46674108000002,0.19784494,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,41.46674108000002,0.14180928,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,35.953474820000025,0.08855294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,36.17051909000003,0.0901258,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,35.362157360000026,0.07442445,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,31.780072399999995,0.08589166,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,34.039383620000024,0.061154455,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,35.22201854000002,0.23724563,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,34.459800080000036,0.26871833,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,35.22543656000005,0.27538207,"{""type"":""MultiPoint"",""coordinates"":[]}"
